Nom;ID Producte;Preu;Promocions;Data
Pants niño 4-7 años 17-30 Kg DRYNITES, paquete 16 uds.;250577;13,45€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Dry Nites Calzoncillos absorbentes niño 8-15 años 13u;250579;13,45€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Molí De Pomerí Salsa Chimi-churri 90g;321461;1,79€/u;['Precio Oferta'];11_04_2021
Dr. Oetker Pizza Casa di Mama atún 420g;281001;3,95€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Aneto Caldo natural puchero brik 1l;254828;4,30€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Little Swimmers Pañal bañador T-5 12-18kg;295517;10,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Puleva Batido cacao 6x200ml;264628;1,79€/u;['Precio Oferta'];11_04_2021
Pañal niño 3-5 años 16-23 kg HUGGIES DryNites, paquete 16 uds.;296821;13,45€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Borges Crema balsámica de manzana 250ml;285410;3,00€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Borges Crema balsámica de módena 250ml;285412;3,00€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Borges Crema balsámica de frambuesa 250ml;285401;3,00€/u;['70% Descuento en la 2ª Unidad', 'Productos catalanes'];11_04_2021
Sanex Desodorante spray natural protector pieles normales 200ml;280227;3,39€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Sanex Desodorante spray natural protector pieles sensibles 200ml;280228;3,39€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Campofrio Jamón cocido lonchas finissimas 115g;159432;1,65€/u;['Precio Oferta'];11_04_2021
Campofrío Pechuga pavo braseado finissimas 125g;228003;1,65€/u;['Precio Oferta'];11_04_2021
Segura Viudas Cava brut reserva 75cl;228320;7,59€/u;['Precio Oferta'];11_04_2021
Granini Zumo cóctel de frutas 1,5l;289628;2,99€/u;['Precio Oferta'];11_04_2021
Cast Aceite virgen extra 2l;304806;9,45€/u;['Precio Oferta', 'Producto del Baix Ebre'];11_04_2021
Miel con propóleo verde EL BREZAL, dosificador 350 g;343631;4,20€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
President Medallones queso de cabra 200g;244209;2,60€/u;['Precio Oferta'];11_04_2021
Oli d'oliva verge extra grand coupage PRIORDEI, botella 75 cl;325244;6,35€/u;['Precio Oferta', 'Productos catalanes'];11_04_2021
Rojalet Vino tinto bag in box D.O. Catalunya 3l;324746;8,50€/u;['Precio Oferta'];11_04_2021
Cava brut GIRO RIBOT, botella 75 cl;344967;5,95€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Crema hidrantante normal-mixta DIADERMINE, pack 2x50 ml;56992;9,95€/u;['Precio Oferta'];11_04_2021
Swimmers pañal bañador T3 7-12 Kg. 20 uni.;295516;10,19€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Whisky JOHNNIE WALKER, botella 70 cl + Jigger;259209;12,49€/u;['Precio Oferta'];11_04_2021
Whisky Black JOHNNIE WALKER, botella 70 cl + 2 Vasos;259250;22,99€/u;['Precio Oferta'];11_04_2021
Caldo de pollo FERRER, frasco 940 ml;297289;3,14€/u;['Precio Oferta', 'Productos catalanes'];11_04_2021
Oral B Dentífrico Pro-Expert blanqueante 75ml;299160;3,25€/u;['70% Descuento en la 2ª Unidad'];11_04_2021
Isla Buda Arroz bomba 1kg;328198;3,75€/u;['Precio Oferta', 'Producto del Baix Ebre'];11_04_2021
Coosur Aceite extra 250ml;328096;1,19€/u;['Precio Oferta'];11_04_2021
Diadermine Desmaquillador ojos 125ml;56997;4,25€/u;['Precio Oferta'];11_04_2021
Mejillón en escabeche CALVO, pack 3x80 g;67862;2,29€/u;['Precio Oferta'];11_04_2021
